step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
609,1.70528,0.58723,,
610,1.8057,0.5478,,
611,1.43294,0.61765,,
612,2.05826,0.52887,,
613,1.83264,0.56786,,
614,1.63316,0.56046,,
615,1.84411,0.53906,,
616,1.63853,0.63415,,
617,1.85178,0.54084,,
618,1.61739,0.57221,,
619,1.66496,0.59919,,
620,1.66462,0.58568,,
621,1.67322,0.5974,,
622,2.01301,0.53793,,
623,1.82897,0.55189,,
624,1.71586,0.56489,,
625,1.62205,0.57231,,
626,1.78891,0.56514,,
627,1.92821,0.55493,,
628,1.75156,0.56459,,
629,1.86969,0.53049,,
630,1.54154,0.58808,,
631,2.05998,0.5649,,
632,1.61481,0.54583,,
633,1.66625,0.57531,,
634,1.69921,0.55656,,
635,1.84682,0.52268,,
636,1.54556,0.575,,
637,1.80193,0.55609,,
638,1.62644,0.55981,,
639,1.75418,0.55478,,
640,1.65651,0.57096,,
641,1.64723,0.58486,,
642,1.81881,0.53832,,
643,1.78341,0.57182,,
644,1.79168,0.56635,,
645,1.71958,0.53081,,
646,1.70971,0.53333,,
647,1.80323,0.54115,,
648,1.744,0.58838,,
649,1.97775,0.51663,,
650,1.99156,0.50624,,
651,1.57174,0.59824,,
652,1.71562,0.55628,,
653,1.93294,0.52208,,
654,1.61483,0.60149,,
655,1.67859,0.58418,,
656,1.91803,0.52846,,
657,1.67615,0.55747,,
658,1.70179,0.55297,,
659,1.73446,0.56,,
660,1.73936,0.56389,,
661,1.96793,0.52282,,
662,1.60662,0.60808,,
663,1.84603,0.54545,,
664,1.68337,0.57293,,
665,1.9773,0.49165,,
666,1.82548,0.55912,,
667,1.92609,0.55936,,
668,1.768,0.53579,,
669,1.82729,0.53066,,
670,1.80026,0.53992,,
671,1.94142,0.56579,,
672,1.77152,0.55869,,
673,1.84532,0.55165,,
674,1.588,0.60391,,
675,1.84156,0.56984,,
676,1.71413,0.56802,,
677,1.7161,0.53776,,
678,1.60898,0.61635,,
679,1.39654,0.60183,,
680,1.37935,0.61399,,
681,1.69719,0.60842,,
682,1.71144,0.5587,,
683,1.57936,0.59412,,
684,1.74696,0.57256,,
685,1.7676,0.58418,,
686,1.67903,0.5787,,
687,1.52571,0.58807,,
688,1.61335,0.6088,,
689,1.83673,0.55026,,
690,1.82972,0.54132,,
691,1.63453,0.58114,,
692,1.80588,0.57653,,
693,1.88087,0.51944,,
694,1.78392,0.54135,,
695,1.73975,0.56566,,
696,1.64276,0.5805,,
697,1.81219,0.55467,,
698,1.97391,0.51195,,
699,1.68876,0.58298,,
700,1.68649,0.59439,1.91087,0.52542
701,1.68984,0.59836,,
702,1.80285,0.53465,,
703,1.79079,0.56782,,
704,1.63877,0.56752,,
705,1.71569,0.5537,,
706,1.72384,0.54839,,
707,1.78098,0.5446,,
708,2.08158,0.52816,,
709,1.5492,0.57789,,
710,1.62817,0.59497,,
711,1.74015,0.53829,,
712,1.73407,0.5625,,
713,1.96174,0.52727,,
714,1.83004,0.55485,,
715,1.76466,0.56744,,
716,1.58691,0.5599,,
717,1.95537,0.52664,,
718,1.47715,0.58586,,
719,1.73183,0.5468,,
720,1.86707,0.55349,,
721,1.8254,0.54624,,
722,1.66009,0.57143,,
723,1.83097,0.56464,,
724,1.8092,0.5756,,
725,1.62941,0.55138,,
726,1.68133,0.58073,,
727,1.85496,0.53416,,
728,1.87324,0.54237,,
729,1.6683,0.59173,,
730,1.7977,0.55324,,
731,1.66146,0.55738,,
732,1.80082,0.55204,,
733,1.76624,0.53571,,
734,1.59925,0.59169,,
735,1.6622,0.56867,,
736,1.6702,0.58447,,
737,1.94819,0.53211,,
738,1.85555,0.58537,,
739,1.68104,0.58853,,
740,1.84467,0.55841,,
741,1.91451,0.56204,,
742,1.70988,0.55299,,
743,1.76644,0.57766,,
744,1.685,0.57011,,
745,1.48498,0.59174,,
746,1.87146,0.53805,,
747,1.69209,0.59082,,
748,1.83007,0.54934,,
749,1.79137,0.56272,,
750,1.84106,0.54372,,
751,1.86009,0.53501,,
752,1.92635,0.52663,,
753,1.98475,0.51134,,
754,1.88597,0.55944,,
755,1.85373,0.5442,,
756,1.7137,0.58886,,
757,1.93959,0.53488,,
758,1.67893,0.5644,,
759,1.91333,0.52185,,
760,1.67323,0.55882,,
761,1.78626,0.56511,,
762,1.71309,0.56784,,
763,1.7807,0.56757,,
764,1.83138,0.55654,,
765,1.98465,0.515,,
766,1.90074,0.5525,,
767,1.80961,0.53066,,
768,1.98824,0.5625,,
769,1.71696,0.56979,,
770,1.86854,0.58038,,
771,1.82472,0.5303,,
772,1.87366,0.57245,,
773,1.97497,0.52506,,
774,1.74841,0.55288,,
775,1.90266,0.53462,,
776,1.95024,0.55076,,
777,1.89389,0.54831,,
778,1.81631,0.58199,,
779,1.78824,0.54786,,
780,1.88047,0.54369,,
781,1.8388,0.55425,,
782,1.76926,0.56651,,
783,1.94075,0.52487,,
784,1.65475,0.57881,,
785,1.81849,0.528,,
786,1.8685,0.52672,,
787,1.96714,0.5188,,
788,1.87221,0.53507,,
789,1.685,0.57522,,
790,1.54916,0.60366,,
791,1.75206,0.56735,,
792,1.66766,0.58607,,
793,1.7671,0.57287,,
794,1.66238,0.58252,,
795,1.82221,0.55882,,
796,1.9658,0.50739,,
797,1.77827,0.54299,,
798,2.09238,0.52041,,
799,1.78439,0.56356,,
800,1.56456,0.60606,1.722,0.5877
801,1.54663,0.59542,,
802,1.66689,0.57252,,
803,1.82858,0.53191,,
804,1.9037,0.55107,,
805,1.64853,0.57652,,
806,1.64886,0.5823,,
807,1.67277,0.57432,,
808,1.69706,0.57357,,
809,1.70055,0.57623,,
810,1.86502,0.53731,,
811,1.90132,0.53799,,
812,1.82216,0.54568,,
813,1.75552,0.57722,,
814,1.65207,0.57079,,
815,1.58997,0.58696,,
816,1.82621,0.55556,,
817,1.77357,0.56427,,
818,1.90909,0.5267,,
819,1.66018,0.55833,,
820,1.92642,0.5299,,
821,1.82106,0.54605,,
822,1.70392,0.58246,,
823,1.58146,0.59447,,
824,2.00044,0.53092,,
825,1.73922,0.57522,,
826,1.73199,0.53648,,
827,1.70424,0.56492,,
828,1.65272,0.59927,,
829,1.66643,0.58156,,
830,1.96124,0.51128,,
831,1.83417,0.53725,,
832,1.69417,0.57176,,
833,1.57666,0.56368,,
834,1.76337,0.53362,,
835,1.86798,0.5431,,
836,1.5737,0.6063,,
837,1.80804,0.58498,,
838,1.7446,0.59889,,
839,1.60945,0.56909,,
840,1.66516,0.56171,,
841,1.90189,0.54064,,
842,1.80348,0.57197,,
843,1.73151,0.58333,,
844,1.71596,0.57092,,
845,1.84212,0.58316,,
846,1.52509,0.60784,,
847,1.87777,0.54598,,
848,1.64939,0.5895,,
849,1.8944,0.54948,,
850,1.81803,0.54632,,
851,1.79887,0.57171,,
852,1.85523,0.54717,,
853,1.62598,0.58333,,
854,1.74391,0.53333,,
855,1.76241,0.57672,,
856,1.77618,0.54286,,
857,1.84937,0.51549,,
858,1.6955,0.55556,,
859,1.80454,0.55388,,
860,1.72798,0.58884,,
861,1.77486,0.58551,,
862,1.75056,0.5814,,
863,1.7316,0.56892,,
864,1.69557,0.56825,,
865,1.72681,0.55827,,
866,1.61178,0.5766,,
867,1.91729,0.53045,,
868,1.79369,0.56069,,
869,1.7979,0.60407,,
870,1.92344,0.53828,,
871,1.59905,0.60427,,
872,1.65308,0.56132,,
873,1.76291,0.5543,,
874,1.73583,0.5594,,
875,1.75304,0.53992,,
876,1.75957,0.54768,,
877,1.75442,0.57821,,
878,1.73335,0.56391,,
879,1.87693,0.54957,,
880,1.84937,0.5721,,
881,1.79355,0.52669,,
882,1.94396,0.54858,,
883,1.66365,0.57107,,
884,1.75388,0.55396,,
885,1.97162,0.54208,,
886,2.01771,0.55365,,
887,1.88142,0.53728,,
888,1.72236,0.59914,,
889,1.8274,0.56338,,
890,1.78401,0.57477,,
891,1.76868,0.57033,,
892,1.70484,0.55842,,
893,1.77181,0.56093,,
894,1.57497,0.60544,,
895,1.77114,0.54695,,
896,1.80093,0.54639,,
897,1.77735,0.59394,,
898,1.87335,0.54153,,
899,1.80121,0.54669,,
900,1.79312,0.55982,1.9456,0.54195
901,1.75777,0.558,,
902,1.47257,0.60945,,
903,1.67803,0.5402,,
904,1.7046,0.59008,,
905,1.59606,0.61002,,
906,1.50793,0.56972,,
907,1.64412,0.58439,,
908,1.7703,0.57895,,
909,1.65146,0.5675,,
910,1.6975,0.56629,,
911,1.71342,0.59102,,
912,1.70568,0.55441,,
913,1.75037,0.54484,,
914,1.98854,0.52913,,
915,1.55067,0.56906,,
916,1.84164,0.51581,,
917,1.74605,0.55116,,
918,1.72666,0.58269,,
919,1.96978,0.50467,,
920,1.77299,0.55626,,
921,1.76514,0.55106,,
922,2.08774,0.51235,,
923,1.66141,0.59234,,
924,1.84305,0.53811,,
925,1.74117,0.58522,,
926,1.87554,0.53372,,
927,1.72179,0.54699,,
928,1.98394,0.55634,,
929,1.81529,0.53077,,
930,1.66361,0.59233,,
931,1.75109,0.57616,,
932,1.83239,0.53689,,
933,1.72505,0.56477,,
934,1.69356,0.5359,,
935,1.64407,0.59016,,
936,1.76062,0.56161,,
937,1.99682,0.54201,,
938,1.66814,0.57106,,
939,1.94042,0.53893,,
940,1.75819,0.55009,,
941,1.8045,0.5615,,
942,1.62861,0.58436,,
943,1.5383,0.58968,,
944,1.81112,0.55711,,
945,1.77848,0.56982,,
946,1.69415,0.60544,,
947,1.66223,0.58886,,
948,1.711,0.57895,,
949,1.66145,0.57068,,
950,1.79406,0.54639,,
951,1.67282,0.54329,,
952,1.50351,0.57275,,
953,1.83359,0.55908,,
954,1.93685,0.53187,,
955,1.75347,0.5154,,
956,1.631,0.58915,,
957,1.96566,0.52058,,
958,1.57943,0.60224,,
959,1.69417,0.57447,,
960,1.69674,0.54054,,
961,1.66421,0.58438,,
962,1.70486,0.54148,,
963,1.90931,0.53862,,
964,1.68296,0.58659,,
965,1.58815,0.5843,,
966,1.89129,0.56277,,
967,1.62796,0.58565,,
968,1.615,0.59343,,
969,1.94265,0.52621,,
970,1.88586,0.55172,,
971,1.68864,0.57528,,
972,1.80306,0.57516,,
973,1.87209,0.56295,,
974,1.60504,0.58357,,
975,1.82072,0.53877,,
976,1.73111,0.56405,,
977,1.6989,0.56546,,
978,1.72647,0.56164,,
979,1.72124,0.55738,,
980,1.65268,0.57254,,
981,1.81798,0.55927,,
982,1.57124,0.57367,,
983,1.60546,0.595,,
984,1.68356,0.58477,,
985,1.47344,0.60599,,
986,1.67697,0.53988,,
987,2.15867,0.50115,,
988,1.59413,0.59124,,
989,1.58363,0.58491,,
990,1.85176,0.55929,,
